"LookupID","Class","Value","IsAllDiv","TempID","Colour","info","value2","Hierarchy","IsDefault"
"6758","category","Regional Manager","1","","","","","","0"
"6759","category","","1","","","","","","0"
"6760","category","Managing Agent","1","","","","","","0"
"6761","category","ADVISOR TO GM","1","","","","","","0"
"6762","category","(Mother/Mother In Law)","1","","","","","","0"
"6763","category","Water Ecology","1","","","","","","0"
"6764","category","Trustee","1","","","","","","0"
"6765","category","Foreman Maintenance","1","","","","","","0"
"6766","category","Maintenance","1","","","","","","0"
"6767","category","Electric Fence","1","","","","","","0"
"6768","category","Construction Manager","1","","","","","","0"
"6769","category","Ward Councillor","1","","","","","","0"
"6770","category","Maintenance Lights","1","","","","","","0"
"6771","category","Conservation  Officer","1","","","","","","0"
"6772","category","Daughter","1","","","","","","0"
"6773","category","Body Corporate - Security Trustee","1","","","","","","0"
"6774","category","Other - Houseman","1","","","","","","0"
"6775","category","Nature-Reserves","1","","","","","","0"
"6776","category","DIRECTOR","1","","","","","","0"
"6777","category","Estate Manager","1","","","","","","0"
"6778","category","Treasurer","1","","","","","","0"
"6779","category","Keyholder","1","","","","","","0"
"6780","category","Operations Manager","1","","","","","","0"
"6781","category","Tenant","1","","","","","","0"
"6782","category","Area Manager","1","","","","","","0"
"6783","category","Compex Manager","1","","","","","","0"
"6784","category","Body Corporate - Chairman","1","","","","","","0"
"6785","category","SECURITY","1","","","","","","0"
"6786","category","Inlaws","1","","","","","","0"
"6787","category","Body Corporate -Trustee","1","","","","","","0"
"6788","category","Tenant (Cottage)","1","","","","","","0"
"6789","category","Home Owners Association - Chair Person","1","","","","","","0"
"6790","category","Alien Plant Projects","1","","","","","","0"
"6791","category","FOREMAN","1","","","","","","0"
"6792","category","Tech Officer Region A","1","","","","","","0"
"6793","category","Representative","1","","","","","","0"
"6794","category","Security Rep","1","","","","","","0"
"6795","category","Mother","1","","","","","","0"
"6796","category","Body Corporate - Chair Person","1","","","","","","0"
"6797","category","Body Corporate","1","","","","","","0"
"6798","category","Electric Fence Activation","1","","","","","","0"
"6799","category","Domestic","1","","","","","","0"
